??? ??????,?????,?????,????? ??????,Email,??? ????,??????,???????,????? ???????,????????,??? ????? ???????,??? ???????,???????,?????? ??????? ???????,???????,???? ?????,Major Dep.,Status,Minor Dep.,??? ??????,???????,??????? ????????
???? ???? ???? ?????,????,???????,181032,Maryam.NMSh@fci.suezuni.edu.eg,98765432136354,Dr. Samah Ahmed Zaki,????,07-Oct-98,1111214,??????,??????,????,???????? ?????? 2018,Address226,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ???? ???? ??? ????,???,???????,181033,Mostafa.AGGa@fci.suezuni.edu.eg,98765432136355,Dr. Samah Ahmed Zaki,????,08-Oct-98,1111215,??????,??????,????,???????? ?????? 2018,Address227,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ??? ????? ?????,???,???????,181034,Mostafa.SNFa@fci.suezuni.edu.eg,98765432136356,Dr.Haitham Farook Abd Elfattah,????,09-Oct-98,1111216,??????,??????,????,???????? ?????? 2018,Address228,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ????? ????? ????,???,??????,181035,181035@suezuni.edu.eg,98765432136357,Dr.Haitham Farook Abd Elfattah,????,10-Oct-98,1111217,??? ?????,????,????,???????? ?????? 2018,Address229,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ????? ??????? ?????,????,???????,181036,Manar.MSE@fci.suezuni.edu.eg,98765432136358,Dr.Haitham Farook Abd Elfattah,????,11-Oct-98,1111218,????????,????????,????,???????? ?????? 2018,Address230,?????,????????_???,????,????????_???,,-------------------,??? ?????
??? ???? ???? ????? ???????,????,???????,181037,MennatAllah.MSEs@fci.suezuni.edu.eg,98765432136359,Dr.Haitham Farook Abd Elfattah,????,12-Oct-98,1111219,??????,??????,????,???????? ?????? 2018,Address231,?????,????????_???,????,????????_???,,-------------------,??? ?????
?????? ???? ???? ?????,????,???????,181038,Nourhan.MAEl@fci.suezuni.edu.eg,98765432136360,Dr.Haitham Farook Abd Elfattah,????,13-Oct-98,1111220,????????,????????,????,???????? ?????? 2018,Address232,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ???? ??? ??????,????,???????,181039,Yomna.AMAb@fci.suezuni.edu.eg,98765432136361,Dr. Mohamed  Ali Atia,????,14-Oct-98,1111221,??????,??????,????,???????? ?????? 2018,Address233,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ????? ????,???,???????,181040,Youssef.YAE@fci.suezuni.edu.eg,98765432136362,Dr.Hussein Mohammed Sharaf,????,15-Oct-98,1111222,???? ?????,???????,????,???????? ?????? 2018,Address234,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ????? ???? ??????? ??? ?????,???,???????,181041,181041@suezuni.edu.eg,98765432136363,Dr.Haitham Farook Abd Elfattah,????,16-Oct-98,1111223,?????? ??????,???????,????,????? ??????2018,Address235,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???????,???,???????,181042,181042@suezuni.edu.eg,98765432136364,Dr.Haitham Farook Abd Elfattah,????,17-Oct-98,1111224,???????,??? ????,?????,???????? ?????? 2018,Address236,?????,????????_???,????,????????_???,,-------------------,??? ?????
??????? ????? ??? ?????? ???????,???,??????_2019,191001,Ibrahim.EASe@fci.suezuni.edu.eg,98765432136365,Dr.Yasser Fouaad Ramadan,????,18-Oct-98,1111225,????????,??????,????,???????? ?????? 2019,Address237,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ??? ????? ????,???,??????_2019,191002,Ahmed.HMBe@fci.suezuni.edu.eg,98765432136366,Dr.Yasser Fouaad Ramadan,????,19-Oct-98,1111226,?????,??????,????,???????? ?????? 2019,Address238,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ???? ???????,???,??????_2019,191003,Ahmed.AMIb@fci.suezuni.edu.eg,98765432136367,Dr.Yasser Fouaad Ramadan,????,20-Oct-98,1111227,,??????,????,???????? ????? 2019,Address239,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ??? ???? ???,???,??????_2019,191004,Ahmed.AKAl@fci.suezuni.edu.eg,98765432136368,Dr.Yasser Fouaad Ramadan,????,21-Oct-98,1111228,??????,??????,????,???????? ?????? 2019,Address240,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ??? ????,????,??????_2019,191006,Esraa.MOAh@fci.suezuni.edu.eg,98765432136369,Dr.Yasser Fouaad Ramadan,????,22-Oct-98,1111229,????????,??????,????,???????? ?????? 2019,Address241,???,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ??? ?????,???,??????_2019,191007,islam.iMA@fci.suezuni.edu.eg,98765432136370,Dr.Yasser Fouaad Ramadan,????,23-Oct-98,1111230,???????,??????,????,???????? ?????? 2019,Address242,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ????? ???? ???? ?????,????,??????_2019,191008,Alaa.SFMo@fci.suezuni.edu.eg,98765432136371,Dr.Yasser Fouaad Ramadan,????,24-Oct-98,1111231,??????,??????,????,???????? ?????? 2019,Address243,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ????? ????? ????,????,??????_2019,191009,alaa.asm@fci.suezuni.edu.eg,98765432136372,Dr.Hussein Mohammed Sharaf,????,25-Oct-98,1111232,??????,??????,????,???????? 2019,Address244,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ??? ?????? ?????,????,??????_2019,191010,Eman.KAMu@fci.suezuni.edu.eg,98765432136373,Dr.Hussein Mohammed Sharaf,????,26-Oct-98,1111233,???????,??????,????,???????? ??????,Address245,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??????? ?? ???? ??? ?????? ?? ????,???,??????_2019,191011,ibrahem.hael@fci.suezuni.edu.eg,98765432136374,Dr.Hussein Mohammed Sharaf,????,27-Oct-98,1111234,???????,???????,????,???????? ?????? 2019,Address246,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ??? ????? ?????,???,??????_2019,191012,191012@suezuni.edu.eg,98765432136375,Dr.Hussein Mohammed Sharaf,????,28-Oct-98,1111235,??????,??????,????,???????? ?????? 2019,Address247,?????,??????_???_2019,????,,,-------------------,??? ?????
??? ???? ???? ?????,????,??????_2019,191013,Toka.MAMo@fci.suezuni.edu.eg,98765432136376,Dr.Hussein Mohammed Sharaf,????,29-Oct-98,1111236,??????,??????,????,???????? ?????? 2019,Address248,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ??? ???? ????,???,??????_2019,191014,Hazem.HRM@fci.suezuni.edu.eg,98765432136377,Dr.Hussein Mohammed Sharaf,????,30-Oct-98,1111237,????????,??????,????,???????? ?????? 2019,Address249,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ???? ???,???,??????_2019,191015,Hussein.MHEl@fci.suezuni.edu.eg,98765432136378,Dr.Hussein Mohammed Sharaf,????,31-Oct-98,1111238,??????,??????,????,???????? ??????,Address250,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ????? ??? ????,????,??????_2019,191016,191016@suezuni.edu.eg,98765432136379,Dr.Hussein Mohammed Sharaf,????,01-Nov-98,1111239,??????,??????,????,???????? ?????? 2019,Address251,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ??? ????? ???,????,??????_2019,191017,Reem.AMAl@fci.suezuni.edu.eg,98765432136380,Dr.Wael Mohammed Fawaz,????,02-Nov-98,1111240,???????,???,????,???????? ?????? 2019,Address252,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ????? ???? ????,???,??????_2019,191018,191018@suezuni.edu.eg,98765432136381,Dr.Wael Mohammed Fawaz,????,03-Nov-98,1111241,??????,??????,????,???????? ????? 2019,Address253,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ????? ???? ???? ????,???,??????_2019,191019,Sharaf-eldeen.AAHe@fci.suezuni.edu.eg,98765432136382,Dr.Wael Mohammed Fawaz,????,04-Nov-98,1111242,????,??????,????,???????? ?????? 2019,Address254,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,???,??????_2019,191020,Salah.SAS@fci.suezuni.edu.eg,98765432136383,Dr.Wael Mohammed Fawaz,????,05-Nov-98,1111243,????????,??????,????,???????? ?????? 2019,Address255,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????????? ???? ??? ???,???,??????_2019,191021,Abdulrhman.KHZa@fci.suezuni.edu.eg,98765432136384,Dr.Wael Mohammed Fawaz,????,06-Nov-98,1111244,??????,??????,????,???????? ?????? 2019,Address256,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
 ??? ?????? ??? ?????? ???? ???? ??? ?????,???,??????_2019,191022,AbdulRahman.AMAh@fci.suezuni.edu.eg,98765432136385,Dr.Wael Mohammed Fawaz,????,07-Nov-98,1111245,??????,??????,????,???????? ?????? 2019,Address257,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ?????? ???? ??? ?????? ??? ????,???,??????_2019,191023,Abdulrhaman.MAGa@fci.suezuni.edu.eg,98765432136386,Dr.Wael Mohammed Fawaz,????,08-Nov-98,1111246,????????,??????,????,???????? ?????? 2019,Address258,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ?????? ????? ???? ???????,???,??????_2019,191024,Abdelrahman.MSRy@fci.suezuni.edu.eg,98765432136387,Dr.Wael Mohammed Fawaz,????,09-Nov-98,1111247,????,??????,????,???????? ?????? 2019,Address259,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ?????? ??? ???? ??? ??????,???,??????_2019,191025,Abdel-Rahman.AYA@fci.suezuni.edu.eg,98765432136388,Dr. Fayza Ahmed Elsayed,????,10-Nov-98,1111248,????? ??????,???????,????,???????? ?????? 2019,Address260,?????,??????_???_2019,????,,,-------------------,??? ?????
??? ????? ????? ???? ????,???,??????_2019,191026,Ali.AEG@fci.suezuni.edu.eg,98765432136389,Dr. Fayza Ahmed Elsayed,????,11-Nov-98,1111249,????,??????,????,???????? ?????? 2019,Address261,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ???? ????? ????? ??? ?????,???,??????_2019,191027,Omar.KEMa@fci.suezuni.edu.eg,98765432136390,Dr. Fayza Ahmed Elsayed,????,12-Nov-98,1111250,????,??????,????,???????? ?????? 2019,Address262,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ???? ????? ????? ??? ?????,???,??????_2019,191028,Omar.DMEl@fci.suezuni.edu.eg,98765432136391,Dr. Fayza Ahmed Elsayed,????,13-Nov-98,1111251,????????,??????,????,???????? ?????? 2019,Address263,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ????? ??? ??????,???,??????_2019,191029,farouk.mfab@fci.suezuni.edu.eg,98765432136392,Dr. Fayza Ahmed Elsayed,????,14-Nov-98,1111252,????,??????,????,???????? ?????? 2019,Address264,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ??????? ??????,????,??????_2019,191081,Fatma.WAEl@fci.suezuni.edu.eg,98765432136393,Dr. Fayza Ahmed Elsayed,????,15-Nov-98,1111253,????????,??????,????,???????? ?????? 2019,Address265,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,???,??????_2019,191031,Fouad.MFFo@fci.suezuni.edu.eg,98765432136394,Dr. Fayza Ahmed Elsayed,????,16-Nov-98,1111254,????,??????,????,???????? ?????? 2019,Address266,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ????? ???? ????,???,??????_2019,191032,Karim.GMMo@fci.suezuni.edu.eg,98765432136395,Dr. Fayza Ahmed Elsayed,????,17-Nov-98,1111255,??????,??????,????,???????? ?????? 2019,Address267,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ??? ????? ??????,???,??????_2019,191033,191033@suezuni.edu.eg,98765432136396,Dr. Mohamed  Ali Atia,????,18-Nov-98,1111256,??????,??????,????,???????? ?????? 2019,Address268,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ???? ????,???,??????_2019,191034,Kerlos.THLo@fci.suezuni.edu.eg,98765432136397,Dr. Mohamed  Ali Atia,????,19-Nov-98,1111257,??????,??? ????? ???? ?????,?????,???????? ?????? 2019,Address269,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ??? ????,???,??????_2019,191035,Mohammed.MAY@fci.suezuni.edu.eg,98765432136398,Dr. Mohamed  Ali Atia,????,20-Nov-98,1111258,????,??????,????,???????? ?????? 2019,Address270,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???????? ????,???,??????_2019,191036,mohammed.maa@fci.suezuni.edu.eg,98765432136399,Dr. Mohamed  Ali Atia,????,21-Nov-98,1111259,??????,??????,????,???????? ?????? 2019,Address271,?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ???? ????,???,??????_2019,191037,191037@suezuni.edu.eg,98765432136400,Dr. Mohamed  Ali Atia,????,22-Nov-98,1111260,????,??????,????,???????? ?????? 2019,Address272,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???? ????,???,??????_2019,191038,Mohamed.MMMo@fci.suezuni.edu.eg,98765432136401,Dr. Mohamed  Ali Atia,????,23-Nov-98,1111261,????????,????????,????,???????? ?????? 2019,Address273,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ???? ??? ??? ????,???,??????_2019,191039,Mahmoud.AMAl@fci.suezuni.edu.eg,98765432136402,Dr. Mohamed  Ali Atia,????,24-Nov-98,1111262,????,??????,????,???????? ?????? 2019,Address274,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ??? ??????????? ?????,???,??????_2019,191040,Mahmoud.MAM@fci.suezuni.edu.eg,98765432136403,Dr. Mohamed  Ali Atia,????,25-Nov-98,1111263,??? ??????,???????,????,???????? ?????? 2019,Address275,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ??? ???? ???????,???,??????_2019,191041,Mahmoud.MYS@fci.suezuni.edu.eg,98765432136404,Dr. Samah Ahmed Zaki,????,26-Nov-98,1111264,????????,??????,????,???????? ?????? 2019,Address276,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???? ????,????,??????_2019,191042,Mariam.HFMo@fci.suezuni.edu.eg,98765432136405,Dr. Samah Ahmed Zaki,????,27-Nov-98,1111265,??????,??????,????,???????? ?????? 2019,Address277,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ??? ?????? ??? ?????,????,??????_2019,191043,Mariam.MAAb@fci.suezuni.edu.eg,98765432136406,Dr. Samah Ahmed Zaki,????,28-Nov-98,1111266,????,????,????,???????? ?????? 2019,Address278,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ????? ???? ?????,???,??????_2019,191044,Mostafa.MMOs@fci.suezuni.edu.eg,98765432136407,Dr. Samah Ahmed Zaki,????,29-Nov-98,1111267,????,??????,????,???????? ?????? 2019,Address279,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ??????? ????,????,??????_2019,191045,Manar.MIIb@fci.suezuni.edu.eg,98765432136408,Dr. Samah Ahmed Zaki,????,30-Nov-98,1111268,????????,??????,????,???????? ?????? 2019,Address280,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
??? ???? ?????? ???? ???????,????,??????_2019,191046,Mona.MEMo@fci.suezuni.edu.eg,98765432136409,Dr. Samah Ahmed Zaki,????,01-Dec-98,1111269,????????,??????,????,???????? ?????? 2019,Address281,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ??? ??,???,??????_2019,191047,Mo'men.AMAl@fci.suezuni.edu.eg,98765432136410,Dr. Samah Ahmed Zaki,????,02-Dec-98,1111270,????,??????,????,???????? ?????? 2019,Address282,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ??? ?????? ??? ???? ???????,???,??????_2019,191048,Momen.AHEl@fci.suezuni.edu.eg,98765432136411,Dr. Samah Ahmed Zaki,????,03-Dec-98,1111271,?????,??????,????,???????? ?????? 2019,Address283,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
?? ???? ???? ?????,????,??????_2019,191049,Mai.MAB@fci.suezuni.edu.eg,98765432136412,Dr.Haitham Farook Abd Elfattah,????,04-Dec-98,1111272,??????,??????,????,???????? ?????? 2019,Address284,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
?? ??? ??? ?????? ??? ??????,????,??????_2019,191050,Mai.SAAb@fci.suezuni.edu.eg,98765432136413,Dr.Haitham Farook Abd Elfattah,????,05-Dec-98,1111273,????????,??????,????,???????? ?????? 2019,Address285,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ???? ????? ????? ????? ???,????,??????_2019,191051,191051@suezuni.edu.eg,98765432136414,Dr.Haitham Farook Abd Elfattah,????,06-Dec-98,1111274,??????,??????,????,???????? ?????? 2019,Address286,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ??? ???? ???? ???,????,??????_2019,191052,Yara.AYMo@fci.suezuni.edu.eg,98765432136415,Dr.Haitham Farook Abd Elfattah,????,07-Dec-98,1111275,??????,??????,????,???????? ?????? 2019,Address287,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
?????? ???? ????? ??? ??????,????,??????_2019,191053,yasmeen.mbab@fci.suezuni.edu.eg,98765432136416,Dr.Haitham Farook Abd Elfattah,????,08-Dec-98,1111276,????,??????,????,???????? ?????? 2019,Address288,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ????? ???? ??? ??????,???,??????_2019,191054,Youssif.HFEl@fci.suezuni.edu.eg,98765432136417,Dr.Haitham Farook Abd Elfattah,????,09-Dec-98,1111277,??????,??????,????,???????? ?????? 2019,Address289,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ??????? ???? ????,???,,191055,191055@suezuni.edu.eg,98765432136418,Dr.Haitham Farook Abd Elfattah,????,10-Dec-98,1111278,?? ??? ????,???? ???????,????,???????? ?????? 2019,Address290,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,???,,191056,191056@suezuni.edu.eg,98765432136419,Dr.Haitham Farook Abd Elfattah,????,11-Dec-98,1111279,????,???????,????,???????? ?????? 2019,Address291,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ????? ????,???,??????_2019,191057,Youssef.WEHa@fci.suezuni.edu.eg,98765432136420,Dr.Haitham Farook Abd Elfattah,????,12-Dec-98,1111280,????,??????,????,???????? ?????? 2019,Address292,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
???? ???? ?????? ???? ????,???,??????_2019,191058,Mazen.MSSa@fci.suezuni.edu.eg,98765432136421,Dr.Haitham Farook Abd Elfattah,????,13-Dec-98,1111281,??????,??????,????,???????? ?????? 2019,Address293,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
????? ??? ??? ?????? ????? ???,???,??????_2019,191059,Noran.AAMa@fci.suezuni.edu.eg,98765432136422,Dr.Haitham Farook Abd Elfattah,????,14-Dec-98,1111282,????????,??????,????,???????? ?????? 2019,Address294,?????,??????_???_2019,????,????????_???,,-------------------,??? ?????
?????? ???????? ??????,???,??????_2019,191060,191060@suezuni.edu.eg,98765432136423,Dr.Haitham Farook Abd Elfattah,????,15-Dec-98,1111283,,???????,?????,???????? ??????,Address295,???? ?????,??????_???_2019,????,,,-------------------,??? ?????
???? ???? ??? ?????,???,??????_2019,191061,Ahmed.MEMo@fci.suezuni.edu.eg,98765432136424,Dr. Samah Ahmed Zaki,????,,1111284,,,,,Address296,,??????_???_2019,????,,,??? ???? ??????? ???????,????
